credit,debit,date,l,s,d
77,42,1583-11-16,16,13,4
164,77,1584-03-15,32,0,7
17,77,1584-07-30,9,10,0
1,78,1582-11-08,108,17,4
1,79,1582-11-08,3,12,0
1,80,1582-11-08,754,14,6
2,80,1582-12-31,1,4,0
2,80,1583-01-31,248,12,0
2,80,1583-02-12,0,11,2
80,2,1594-09-12,75,16,8
80,2,1594-09-12,927,11,0
1,81,1582-11-08,11,17,6
1,82,1582-11-08,5254,15,0
82,30,1583-01-06,2750,9,8
82,61,1583-01-06,300,18,10
82,61,1583-01-06,519,1,6
82,61,1583-02-05,239,1,10
53,82,1583-02-05,33,8,9
83,82,1583-02-05,6147,15,8
82,30,1583-02-05,804,0,8
82,53,1583-02-12,544,16,7
82,103,1583-02-19,2540,18,10.5
82,61,1583-05-10,306,6,10
82,30,1583-05-10,410,15,7
82,30,1583-05-10,924,6,11
82,53,1583-07-06,118,4,0
82,135,1583-07-06,136,0,0
82,151,1583-07-06,40,0,0
82,30,1583-07-26,2487,4,8
82,30,1583-07-26,332,15,11
82,61,1583-07-26,606,16,7
103,82,1583-07-30,25,0,0
82,103,1583-07-30,800,0,0
82,53,1583-10-03,1,4,0
83,82,1583-10-30,4612,18,8
82,61,1584-02-22,1085,17,8
82,30,1584-02-22,146,19,0
82,30,1584-02-22,226,8,8
82,30,1584-02-22,818,17,4
82,30,1584-11-20,530,2,0
82,61,1584-11-20,848,10,0
82,83,1594-09-05,1000,0,0
82,30,1594-09-05,685,12,4
1,83,1582-11-08,23148,11,3.5
64,83,1582-11-26,60,8,8
31,83,1583-01-06,135,3,10
17,83,1583-01-15,355,5,4.5
35,83,1583-01-15,4,4,0
35,83,1583-01-15,782,15,0
26,83,1583-01-15,90,8,0
83,174,1583-01-17,1456,11,5
83,26,1583-02-05,320,0,0
83,26,1583-02-05,6,5,0
83,65,1583-02-08,102,1,8
83,26,1583-02-08,245,0,0
83,26,1583-02-08,362,8,0
83,26,1583-02-12,246,5,0
83,26,1583-02-12,287,5,10
35,83,1583-02-21,67,18,10
17,83,1583-02-21,87,11,6
83,53,1583-02-22,75,9,10
83,26,1583-03-23,126,14,4
83,26,1583-03-23,173,3,2
83,26,1583-03-23,226,9,7
83,26,1583-03-23,24,10,9
83,174,1583-05-12,111,7,10
83,76,1583-05-12,196,18,6
83,99,1583-05-12,51,8,4
83,165,1583-05-12,85,8,4
1,84,1582-11-08,1872,5,0
84,26,1582-11-17,163,6,8
84,26,1582-11-17,238,15,0
84,26,1582-11-23,246,17,6
84,26,1582-12-14,162,18,4
84,26,1583-01-03,164,3,4
84,150,1583-01-03,224,10,5
84,35,1583-01-03,755,13,11
84,26,1583-02-09,400,0,0
84,26,1583-02-21,163,6,8
84,26,1583-02-21,165,0,0
84,26,1583-04-06,162,1,8
84,26,1583-04-06,162,1,8
84,26,1583-04-06,88,9,0
84,60,1583-04-08,159,11,8
84,26,1583-04-08,162,1,8
26,84,1583-04-08,19,4,0
84,26,1583-04-26,241,17,6
84,26,1583-04-28,157,18,4
84,26,1583-04-29,160,8,4
84,26,1583-04-30,127,19,7
84,26,1583-04-30,160,8,4
26,84,1583-05-07,8,5,2
84,26,1583-05-12,161,17,6
84,26,1583-05-13,161,13,4
84,26,1583-05-13,192,10,0
26,84,1583-05-27,24,0,0
84,26,1583-05-28,162,1,8
84,26,1583-05-28,180,0,0
84,62,1583-05-28,96,0,0
84,26,1583-05-31,80,0,0
84,26,1583-06-02,162,1,8
84,26,1583-06-09,160,12,6
84,26,1583-06-09,160,8,4
84,26,1583-06-09,160,8,4
84,26,1583-06-09,183,6,8
84,26,1583-06-09,243,15,0
84,26,1583-07-03,178,5,10
84,26,1583-07-04,159,11,8
84,26,1583-07-04,159,3,4
84,26,1583-07-04,159,3,4
84,26,1583-07-04,159,3,4
84,26,1583-07-26,174,18,10
39,84,1583-07-30,10,12,1
17,84,1583-07-30,100,19,3
17,84,1583-07-30,1743,19,1
30,84,1583-07-30,18135,9,10
53,84,1583-07-30,2373,13,2
17,84,1583-07-30,2492,2,11
17,84,1583-07-30,261,15,8
179,84,1583-07-30,27,2,6
30,84,1583-07-30,360,18,4
17,84,1583-07-30,416,7,3
32,84,1583-07-30,645,17,0
71,84,1583-07-30,673,10,11
30,84,1583-07-30,819,4,6
61,84,1583-07-30,9099,9,5
84,26,1583-08-04,160,16,8
84,26,1583-08-26,158,2,6
84,26,1583-08-26,158,2,6
84,26,1583-08-26,159,3,4
84,27,1583-08-26,19,4,8
84,26,1583-08-31,160,0,0
84,163,1583-09-19,1000,0,0
84,26,1583-09-19,159,11,8
84,26,1583-09-19,315,16,8
84,26,1583-10-01,157,18,4
84,26,1583-10-14,158,15,0
84,26,1583-10-14,94,7,6
84,26,1583-10-30,156,13,4
84,26,1583-10-30,156,9,2
84,26,1583-11-05,156,13,4
84,26,1583-11-05,156,9,2
84,26,1583-11-05,156,9,2
84,26,1583-11-05,156,9,2
84,26,1583-11-05,156,9,2
84,26,1583-11-05,158,10,10
84,26,1583-11-05,158,6,8
84,26,1583-11-05,158,6,8
84,26,1583-11-05,312,18,4
84,26,1583-11-10,157,1,8
84,26,1583-11-10,158,15,0
84,26,1583-11-10,158,15,0
57,84,1583-11-16,105,5,5
71,84,1583-11-16,105,5,5
57,84,1583-11-16,127,17,3
32,84,1583-11-16,127,17,3
17,84,1583-11-16,147,9,4
55,84,1583-11-16,147,9,4
84,26,1583-11-16,159,11,8
68,84,1583-11-16,214,7,9
53,84,1583-11-16,2633,13,3
61,84,1583-11-16,2981,8,9
17,84,1583-11-16,3051,13,9
84,26,1583-11-16,316,3,7.5
17,84,1583-11-16,333,10,9
17,84,1583-11-16,334,19,2
67,84,1583-11-16,51,15,3
30,84,1583-11-16,8930,13,7
30,84,1583-11-16,911,6,10
84,26,1583-12-12,158,10,10
84,26,1583-12-12,158,15,0
84,26,1583-12-12,158,15,0
84,26,1583-12-12,160,8,4
84,26,1583-12-12,160,8,4
84,26,1583-12-12,240,12,6
84,55,1583-12-12,377,15,0
84,26,1583-12-12,79,7,6
71,84,1583-12-15,265,7,2
26,84,1583-12-15,78,4,7
78,84,1583-12-15,98,17,6
84,26,1583-12-28,159,11,8
84,26,1584-01-12,156,5,0
84,26,1584-01-21,155,16,8
84,26,1584-01-21,157,10,0
84,26,1584-01-21,157,5,10
84,26,1584-01-21,167,8,8
84,26,1584-01-21,236,5,0
84,26,1584-01-27,119,7,4
84,26,1584-01-27,157,18,4
84,26,1584-01-27,77,18,4
84,26,1584-02-10,108,18,9
84,26,1584-02-10,155,16,8
84,26,1584-02-10,311,5,0
84,26,1584-02-16,155,12,6
84,26,1584-02-16,157,10,0
84,26,1584-02-16,157,10,0
84,26,1584-02-16,233,8,9
84,26,1584-02-16,78,15,0
96,84,1584-02-22,120,17,7
84,26,1584-02-28,157,10,0
84,26,1584-02-28,157,5,10
84,26,1584-02-28,157,5,10
84,26,1584-02-28,157,5,10
61,84,1594-09-05,1055,2,1
30,84,1594-09-05,1122,5,0
61,84,1594-09-05,1323,19,0
68,84,1594-09-05,137,3,0
53,84,1594-09-05,140,9,0
84,30,1594-09-05,15,14,11
84,32,1594-09-05,17,6,11
84,102,1594-09-05,2242,14,5
101,84,1594-09-05,27,10,3
68,84,1594-09-05,29,3,2
84,30,1594-09-05,290,3,1
101,84,1594-09-05,303,16,1
32,84,1594-09-05,303,3,1
17,84,1594-09-05,369,15,7
84,102,1594-09-05,3776,6,2
84,17,1594-09-05,5,18,7
84,55,1594-09-05,5,18,7
84,53,1594-09-05,59,2,8
84,215,1594-09-05,6,4,0
30,84,1594-09-05,62,7,6
32,84,1594-09-05,72,14,2
67,84,1594-09-05,76,11,0
30,84,1594-09-05,767,13,11
84,17,1594-09-05,78,11,10
67,84,1594-09-05,81,19,3
30,84,1594-09-05,860,10,0
84,30,1594-09-05,87,13,3
84,101,1594-09-05,9,1,0
84,61,1594-09-05,92,7,1
1,85,1582-11-08,100,0,0
2,85,1583-11-04,0,14,7
85,165,1583-11-23,100,0,0
1,2,1582-11-08,291,18,5
1,35,1582-11-08,66,18,5
2,35,1582-11-26,200,2,7
2,35,1582-12-11,0,10,0
35,60,1583-01-06,13,6,11
47,35,1583-01-06,5,5,7
66,35,1583-01-10,0,2,3
35,73,1583-01-15,2,10,0
35,103,1583-01-17,3,6,3
2,35,1583-05-13,0,15,0
55,35,1583-06-29,4,2,10
79,35,1583-08-01,3,12,0
24,35,1583-11-16,1,16,3
35,66,1583-12-28,3,3,0
26,2,1584-01-14,158,15,0
26,2,1584-01-21,160,8,4
26,2,1584-03-15,236,5,0
26,2,1584-01-27,240,12,6
26,2,1584-04-21,157,5,10
26,2,1583-07-02,80,0,0
26,2,1584-01-06,158,10,10
26,2,1583-05-25,160,8,4
26,2,1583-12-01,312,18,4
26,2,1583-02-03,197,18,4
26,2,1583-06-24,404,3,4
26,2,1583-10-06,400,0,0
26,2,1583-12-15,118,6,2
26,2,1583-07-16,161,13,4
26,2,1583-12-28,156,13,4
26,2,1583-05-03,24,10,9
26,2,1583-06-02,160,8,4
26,2,1583-06-10,192,10,0
26,2,1583-06-17,241,17,6
26,2,1583-06-28,127,19,7
26,2,1583-03-12,163,6,8
26,2,1583-12-14,162,18,4
26,2,1583-03-31,246,5,0
26,2,1583-06-28,242,10,0
